activ_dense,activation,dropout_0,dropout_1,dropout_2,dropout_3,filters_0,filters_1,filters_2,filters_3,filters_4,filters_5,filters_6,global_pooling,k_0,k_1,k_2,k_3,k_4,k_5,k_6,l2,lr,s_0,s_1,s_2,stack_0,stack_1,stack_2,step,perf
softmax,sigmoid,0.8546554003234268,0.6499326329656545,0.8213528081970237,0.8087117522671956,310,199,165,417,321,195,288,False,5,1,5,4,5,2,2,0.001180512177860202,0.5958990152352633,1,2,1,5,4,4,True,0.08920000007376075
softmax,sigmoid,0.889730896696967,0.058827898917728286,0.47001114516987474,0.20644527216737146,405,318,355,178,436,387,436,False,3,1,4,2,1,1,1,0.008350177365141266,0.00835799823203334,1,4,3,5,2,2,False,0.11349999956786633
softmax,sigmoid,0.7408879860316963,0.0427774548316002,0.3305952397537232,0.7359307941455581,591,274,506,378,187,20,327,False,1,3,1,2,2,4,3,0.0012050927734375,0.8921064068167179,3,5,3,5,2,4,False,0.11349999956786633
softmax,tanh,0.49016625814852166,0.035672017841231245,0.4226342452597998,0.7081398945568983,260,348,267,182,13,100,265,False,4,2,3,2,3,3,3,0.00660416059689453,0.020305959842144214,2,2,1,5,3,3,False,0.9323000031709671
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,10,96,485,183,331,113,416,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,2,4,4,1,2,4,False,0.11349999956786633
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,10,96,485,183,331,113,416,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,2,4,4,1,2,4,False,0.11349999956786633
softmax,sigmoid,0.6185573275997875,0.39177407760636834,0.3808773638926935,0.7882983754416265,10,96,485,183,331,113,416,True,2,3,3,5,5,5,3,0.0024759311785299168,0.9434090213198282,2,4,4,1,2,4,False,0.11349999956786633
softmax,tanh,0.015583158270619003,0.0059238790694209125,0.8392885864988308,0.8157852228111844,114,125,203,379,138,595,185,False,5,5,1,4,4,3,5,0.00606694668781796,0.9024265950720252,2,1,3,2,1,3,True,0.10320000007748603
softmax,sigmoid,0.12868674426083815,0.043824755686527286,0.2621052392109432,0.6142235248462716,235,178,426,545,392,568,549,False,4,2,1,5,1,5,2,0.009013060847222344,0.7640234105269851,1,3,3,1,2,3,True,0.09799999993294478
softmax,sigmoid,0.5105397307368439,0.032620366308640646,0.08533187664145278,0.09300094286726435,235,178,426,545,392,568,548,False,4,2,1,5,1,5,2,0.009422165125068712,0.8666162157575842,1,3,2,1,2,3,False,0.10100000012665987
softmax,tanh,0.3196271398263616,0.03972928611489615,0.18246632191293546,0.2544304135368014,246,208,427,257,583,176,191,True,5,2,1,4,1,1,2,0.003353243485393435,0.5956761870669012,4,4,2,4,4,2,False,0.09789999987930059
softmax,tanh,0.3196271398263616,0.03972928611489615,0.18246632191293546,0.2544304135368014,246,208,427,257,583,176,191,True,5,2,1,4,1,1,2,0.003353243485393435,0.5956761870669012,4,4,2,4,4,2,False,0.09799999993294478
softmax,tanh,0.3196271398263616,0.03972928611489615,0.18246632191293546,0.2544304135368014,246,208,427,257,583,176,191,True,5,2,1,4,1,1,2,0.003353243485393435,0.5956761870669012,4,4,2,4,4,2,False,0.09799999993294478
softmax,elu,0.6520556030452628,0.21338971280549426,0.6955852079515489,0.2650057224494872,223,189,374,30,36,142,189,True,2,4,3,5,2,3,5,0.000605271617482553,0.24762352118936487,2,4,3,4,2,2,False,0.959500002861023
softmax,tanh,0.2131487956239366,0.09909699868726041,0.47856528385534214,0.5054152958383203,414,133,64,216,191,306,491,False,5,2,4,4,4,5,5,0.0002386917555431159,0.9100234542990212,3,1,4,3,2,1,False,0.09580000022426248
softmax,selu,0.19018882017257893,0.5820139624294015,0.0412870441644914,0.42495199602297173,367,504,478,454,35,350,164,True,3,5,3,1,2,3,2,0.0015330503174103844,0.8910258824893033,1,1,1,3,4,1,False,0.09580000022426248
softmax,elu,0.7881611734894531,0.5544130034503507,0.6776750325625626,0.21799868336109854,277,589,537,20,515,89,525,False,1,4,3,5,5,3,5,0.004918223598769217,0.08081710989372341,4,3,4,3,4,2,True,0.10100000012665987
softmax,elu,0.7881611734894531,0.5544130034503507,0.6776750325625626,0.21799868336109854,277,589,537,20,515,89,525,False,1,4,3,5,5,3,5,0.004918223598769217,0.08081710989372341,4,3,4,3,4,2,True,0.10100000012665987
softmax,elu,0.7881611734894531,0.5544130034503507,0.6776750325625626,0.21799868336109854,277,589,537,20,515,89,525,False,1,4,3,5,5,3,5,0.004918223598769217,0.08081710989372341,4,3,4,3,4,2,True,0.10090000040829182
